NAME,poverty,state
Alabama,795989,01
Alaska,76933,02
Arizona,1043764,04
Arkansas,496260,05
California,5149742,06
Colorado,565873,08
Delaware,109400,10
District of Columbia,107140,11
Connecticut,344146,09
Florida,2870487,12
Georgia,1528558,13
Idaho,221256,16
Hawaii,130649,15
Illinois,1557873,17
Indiana,867996,18
Iowa,348122,19
Kansas,337739,20
Kentucky,747010,21
Louisiana,871467,22
Maine,153131,23
Maryland,539991,24
Massachusetts,680962,25
Michigan,1398527,26
Minnesota,526065,27
Mississippi,585786,28
Missouri,810045,29
Montana,134605,30
Nebraska,206579,31
Nevada,384690,32
New Hampshire,98682,33
New Jersey,869081,34
New Mexico,392065,35
New York,2681277,36
North Carolina,1467591,37
North Dakota,78198,38
Ohio,1588343,39
Oklahoma,598373,40
Oregon,533527,41
Pennsylvania,1539183,42
Rhode Island,125826,44
South Carolina,741650,45
South Dakota,110553,46
Tennessee,996930,47
Texas,4072194,48
Vermont,65652,50
Utah,298537,49
Virginia,865691,51
Washington,785244,53
West Virginia,310044,54
Wisconsin,639160,55
Wyoming,62257,56
Puerto Rico,1449091,72
